iteration,loss,entropy,lambda_0,lambda_1,lambda_2,lambda_3
1,4.5421182033281940,4.6042914838480070,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.1485486498637492
2,4.4821067643752470,4.6027068726461810,0.0000000000000000,0.1440826808525652,0.0000000000000000,0.1485486498637492
3,4.4247504414752160,4.5998290427816150,0.0000000000000000,0.2848388206506464,0.0000000000000000,0.1485486498637492
5,4.3158369946915425,4.5903933898033730,0.0000000000000000,0.4199891999959157,0.0000000000000000,0.2883496256734949
10,4.0820758340185614,4.5483808348650310,0.0000000000000000,0.7973445741951862,0.0000000000000000,0.5470248844025938
20,3.2325401364872697,3.1735804811921800,0.1840686396557502,3.8763474799751347,0.1918902211537277,2.4854448484169174
50,3.1617709439417760,3.1469676964979194,1.6527633458811182,2.6166075278309027,4.4453724246267360,0.0000000000000000
100,3.1197924344039323,3.1197924344050634,6.0624645573901740,0.0000000000000000,4.1317372609637160,0.0000000000000000
200,3.1197924344039314,3.1197924344039296,6.0624645574787560,0.0000000000000000,4.1317372608782830,0.0000000000000000
500,3.1197924344039314,3.1197924344039296,6.0624645574787560,0.0000000000000000,4.1317372608782830,0.0000000000000000
